Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Approved_loan,incomelevel,status,is_owning,credit_bands
LP001002,Male,No,0,Graduate,No,3317724,0.0,128.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001003,Male,Yes,1,Graduate,No,3317724,1508.0,128.0,360.0,1.0,Rural,n,0,low,1,0,mid
LP001005,Male,Yes,0,Graduate,Yes,3317724,0.0,66.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001006,Male,Yes,0,Not Graduate,No,3317724,2358.0,120.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001008,Male,No,0,Graduate,No,3317724,0.0,141.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001011,Male,Yes,2,Graduate,Yes,3317724,4196.0,267.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001013,Male,Yes,0,Not Graduate,No,3317724,1516.0,95.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001014,Male,Yes,3+,Graduate,No,3317724,2504.0,158.0,360.0,0.0,Semiurban,n,0,low,1,0,low
LP001018,Male,Yes,2,Graduate,No,3317724,1526.0,168.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001020,Male,Yes,1,Graduate,No,3317724,10968.0,349.0,360.0,1.0,Semiurban,n,0,High,1,0,mid
LP001024,Male,Yes,2,Graduate,No,3317724,700.0,70.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001027,Male,Yes,2,Graduate,Uknown,3317724,1840.0,109.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001028,Male,Yes,2,Graduate,No,3317724,8106.0,200.0,360.0,1.0,Urban,y,1,High,1,0,mid
LP001029,Male,No,0,Graduate,No,3317724,2840.0,114.0,360.0,1.0,Rural,n,0,low,1,0,mid
LP001030,Male,Yes,2,Graduate,No,3317724,1086.0,17.0,120.0,1.0,Urban,y,1,low,1,0,mid
LP001032,Male,No,0,Graduate,No,3317724,0.0,125.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001034,Male,No,1,Not Graduate,No,3317724,0.0,100.0,240.0,,Urban,y,1,low,1,0,High
LP001036,Female,No,0,Graduate,No,3317724,0.0,76.0,360.0,0.0,Urban,n,0,low,1,0,low
LP001038,Male,Yes,0,Not Graduate,No,3317724,0.0,133.0,360.0,1.0,Rural,n,0,low,1,0,mid
LP001041,Male,Yes,0,Graduate,Uknown,3317724,3500.0,115.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001043,Male,Yes,0,Not Graduate,No,3317724,0.0,104.0,360.0,0.0,Urban,n,0,low,1,0,low
LP001046,Male,Yes,1,Graduate,No,3317724,5625.0,315.0,360.0,1.0,Urban,y,1,High,1,0,mid
LP001047,Male,Yes,0,Not Graduate,No,3317724,1911.0,116.0,360.0,0.0,Semiurban,n,0,low,1,0,low
LP001050,Uknown,Yes,2,Not Graduate,No,3317724,1917.0,112.0,360.0,0.0,Rural,n,0,low,1,0,low
LP001052,Male,Yes,1,Graduate,Uknown,3317724,2925.0,151.0,360.0,,Semiurban,n,0,low,1,0,High
LP001066,Male,Yes,0,Graduate,Yes,3317724,0.0,191.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001068,Male,Yes,0,Graduate,No,3317724,2253.0,122.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001073,Male,Yes,2,Not Graduate,No,3317724,1040.0,110.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001086,Male,No,0,Not Graduate,No,3317724,0.0,35.0,360.0,1.0,Urban,n,0,low,1,0,mid
LP001087,Female,No,2,Graduate,Uknown,3317724,2083.0,120.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001091,Male,Yes,1,Graduate,Uknown,3317724,3369.0,201.0,360.0,,Urban,n,0,low,1,0,High
LP001095,Male,No,0,Graduate,No,3317724,0.0,74.0,360.0,1.0,Urban,n,0,low,1,0,mid
LP001097,Male,No,1,Graduate,Yes,3317724,0.0,106.0,360.0,1.0,Rural,n,0,low,1,0,mid
LP001098,Male,Yes,0,Graduate,No,3317724,1667.0,114.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001100,Male,No,3+,Graduate,No,3317724,3000.0,320.0,360.0,1.0,Rural,n,0,low,1,0,mid
LP001106,Male,Yes,0,Graduate,No,3317724,2067.0,128.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001109,Male,Yes,0,Graduate,No,3317724,1330.0,100.0,360.0,0.0,Urban,n,0,low,1,0,low
LP001112,Female,Yes,0,Graduate,No,3317724,1459.0,144.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001114,Male,No,0,Graduate,No,3317724,7210.0,184.0,360.0,1.0,Urban,y,1,High,1,0,mid
LP001116,Male,No,0,Not Graduate,No,3317724,1668.0,110.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001119,Male,No,0,Graduate,No,3317724,0.0,80.0,360.0,1.0,Urban,n,0,low,1,0,mid
LP001120,Male,No,0,Graduate,No,3317724,1213.0,47.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001123,Male,Yes,0,Graduate,No,3317724,0.0,75.0,360.0,,Urban,y,1,low,1,0,High
LP001131,Male,Yes,0,Graduate,No,3317724,2336.0,134.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001136,Male,Yes,0,Not Graduate,Yes,3317724,0.0,96.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001137,Female,No,0,Graduate,No,3317724,0.0,88.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001138,Male,Yes,1,Graduate,No,3317724,0.0,44.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001144,Male,Yes,0,Graduate,No,3317724,0.0,144.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001146,Female,Yes,0,Graduate,No,3317724,3440.0,120.0,360.0,0.0,Urban,n,0,low,1,0,low
LP001151,Female,No,0,Graduate,No,3317724,2275.0,144.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001155,Female,Yes,0,Not Graduate,No,3317724,1644.0,100.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001157,Female,No,0,Graduate,No,3317724,0.0,120.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001164,Female,No,0,Graduate,No,3317724,0.0,112.0,360.0,1.0,Semiurban,n,0,low,1,0,mid
LP001179,Male,Yes,2,Graduate,No,3317724,0.0,134.0,360.0,1.0,Urban,n,0,low,1,0,mid
LP001186,Female,Yes,1,Graduate,Yes,3317724,0.0,286.0,360.0,0.0,Urban,n,0,low,1,0,low
LP001194,Male,Yes,2,Graduate,No,3317724,1167.0,97.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001195,Male,Yes,0,Graduate,No,3317724,1591.0,96.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001197,Male,Yes,0,Graduate,No,3317724,2200.0,135.0,360.0,1.0,Rural,n,0,low,1,0,mid
LP001198,Male,Yes,1,Graduate,No,3317724,2250.0,180.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001199,Male,Yes,2,Not Graduate,No,3317724,2859.0,144.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001205,Male,Yes,0,Graduate,No,3317724,3796.0,120.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001206,Male,Yes,3+,Graduate,No,3317724,0.0,99.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001207,Male,Yes,0,Not Graduate,Yes,3317724,3449.0,165.0,180.0,0.0,Rural,n,0,low,1,0,low
LP001213,Male,Yes,1,Graduate,No,3317724,0.0,128.0,360.0,0.0,Rural,n,0,low,1,0,low
LP001222,Female,No,0,Graduate,No,3317724,0.0,116.0,360.0,0.0,Semiurban,n,0,low,1,0,low
LP001225,Male,Yes,0,Graduate,No,3317724,4595.0,258.0,360.0,1.0,Semiurban,n,0,low,1,0,mid
LP001228,Male,No,0,Not Graduate,No,3317724,2254.0,126.0,180.0,0.0,Urban,n,0,low,1,0,low
LP001233,Male,Yes,1,Graduate,No,3317724,0.0,312.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001238,Male,Yes,3+,Not Graduate,Yes,3317724,0.0,125.0,60.0,1.0,Urban,y,1,low,1,0,mid
LP001241,Female,No,0,Graduate,No,3317724,0.0,136.0,360.0,0.0,Semiurban,n,0,low,1,0,low
LP001243,Male,Yes,0,Graduate,No,3317724,3066.0,172.0,360.0,1.0,Urban,y,1,low,1,0,mid
LP001245,Male,Yes,2,Not Graduate,Yes,3317724,1875.0,97.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001248,Male,No,0,Graduate,No,3317724,0.0,81.0,300.0,1.0,Semiurban,y,1,low,1,0,mid
LP001250,Male,Yes,3+,Not Graduate,No,3317724,0.0,95.0,360.0,0.0,Semiurban,n,0,low,1,0,low
LP001253,Male,Yes,3+,Graduate,Yes,3317724,1774.0,187.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001255,Male,No,0,Graduate,No,3317724,0.0,113.0,480.0,1.0,Urban,n,0,low,1,0,mid
LP001256,Male,No,0,Graduate,No,3317724,4750.0,176.0,360.0,1.0,Urban,n,0,low,1,0,mid
LP001259,Male,Yes,1,Graduate,Yes,3317724,3022.0,110.0,360.0,1.0,Urban,n,0,low,1,0,mid
LP001263,Male,Yes,3+,Graduate,No,3317724,4000.0,180.0,300.0,0.0,Semiurban,n,0,low,1,0,low
LP001264,Male,Yes,3+,Not Graduate,Yes,3317724,2166.0,130.0,360.0,,Semiurban,y,1,low,1,0,High
LP001265,Female,No,0,Graduate,No,3317724,0.0,111.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001266,Male,Yes,1,Graduate,Yes,3317724,0.0,128.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001267,Female,Yes,2,Graduate,No,3317724,1881.0,167.0,360.0,1.0,Urban,n,0,low,1,0,mid
LP001273,Male,Yes,0,Graduate,No,3317724,2250.0,265.0,360.0,,Semiurban,n,0,low,1,0,High
LP001275,Male,Yes,1,Graduate,No,3317724,0.0,50.0,240.0,1.0,Urban,y,1,low,1,0,mid
LP001279,Male,No,0,Graduate,No,3317724,2531.0,136.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001280,Male,Yes,2,Not Graduate,No,3317724,2000.0,99.0,360.0,,Semiurban,y,1,low,1,0,High
LP001282,Male,Yes,0,Graduate,No,3317724,2118.0,104.0,360.0,1.0,Semiurban,y,1,low,1,0,mid
LP001289,Male,No,0,Graduate,No,3317724,0.0,210.0,360.0,1.0,Urban,y,1,low,1,0,mid
